word,root
قُلُوبِهِم,قلوبهم,قلوبهم
مَّرَضٌ,مرض,مرض
فَزَادَهُمُ,فزادهم,فزادهم
مَرَضًا,مرضا,مرضا
أَلِيمٌۢ,اليم,اليم
بِمَا,بما,بما
كَانُوا۟,كانوا,كانوا
يَكْذِبُونَ,يكذبون,يكذبون
وَإِذَا,واذا,واذا
قِيلَ,قيل,قيل
لَهُمْ,لهم,لهم
تُفْسِدُوا۟,تفسدوا,تفسدوا
ٱلْأَرْضِ,الارض,الارض
قَالُوٓا۟,قالوا,قالوا
إِنَّمَا,انما,انما
نَحْنُ,نحن,نحن
مُصْلِحُونَ,مصلحون,مصلحون
أَلَآ,الا,الا
إِنَّهُمْ,انهم,انهم
ٱلْمُفْسِدُونَ,المفسدون,المفسدون
وَلَٰكِن,ولاكن,ولاكن
لَّا,لا,لا
ءَامِنُوا۟,ءامنوا,ءامنوا
كَمَآ,كما,كما
ءَامَنَ,ءامن,ءامن
ٱلنَّاسُ,الناس,الناس
أَنُؤْمِنُ,انومن,انومن
ٱلسُّفَهَآءُ,السفهاء,السفهاء
يَعْلَمُونَ,يعلمون,يعلمون
لَقُوا۟,لقوا,لقوا
خَلَوْا۟,خلوا,خلوا
إِلَىٰ,الىا,الىا
شَيَٰطِينِهِمْ,شياطينهم,شياطينهم
إِنَّا,انا,انا
مَعَكُمْ,معكم,معكم
مُسْتَهْزِءُونَ,مستهزءون,مستهزءون
يَسْتَهْزِئُ,يستهزي,يستهزي
بِهِمْ,بهم,بهم
وَيَمُدُّهُمْ,ويمدهم,ويمدهم
طُغْيَٰنِهِمْ,طغيانهم,طغيانهم
يَعْمَهُونَ,يعمهون,يعمهون
ٱشْتَرَوُا۟,اشتروا,اشتروا
ٱلضَّلَٰلَةَ,الضلالة,الضلالة
بِٱلْهُدَىٰ,بالهدىا,بالهدىا
فَمَا,فما,فما
رَبِحَت,ربحت,ربحت
تِّجَٰرَتُهُمْ,تجارتهم,تجارتهم
مُهْتَدِينَ,مهتدين,مهتدين
مَثَلُهُمْ,مثلهم,مثلهم
كَمَثَلِ,كمثل,كمثل
ٱلَّذِى,الذى,الذى
ٱسْتَوْقَدَ,استوقد,استوقد
نَارًا,نارا,نارا
فَلَمَّآ,فلما,فلما
أَضَآءَتْ,اضاءت,اضاءت
مَا,ما,ما
حَوْلَهُۥ,حوله,حوله
ذَهَبَ,ذهب,ذهب
