word,root
مَا,ما,ما
حَوْلَهُۥ,حولهۥ,حوله
ذَهَبَ,ذهب,ذهب
بِنُورِهِمْ,بنر,بنورهم
وَتَرَكَهُمْ,وتر,وتركهم
ظُلُمَٰتٍ,ظلمٰ,ظلمات
يُبْصِرُونَ,بصر,يبصرون
صُمٌّۢ,صمۢ,صم
بُكْمٌ,بكم,بكم
عُمْىٌ,عمى,عمى
فَهُمْ,فهم,فهم
يَرْجِعُونَ,رجع,يرجعون
أَوْ,او,او
كَصَيِّبٍ,كصب,كصيب
مِّنَ,من,من
ٱلسَّمَآءِ,ٱلسمآء,السماء
ظُلُمَٰتٌ,ظلمٰ,ظلمات
وَرَعْدٌ,رعد,ورعد
وَبَرْقٌ,برق,وبرق
يَجْعَلُونَ,جعل,يجعلون
أَصَٰبِعَهُمْ,صٰبع,اصابعهم
فِىٓ,فىٓ,فى
ءَاذَانِهِم,ءاذ,ءاذانهم
ٱلصَّوَٰعِقِ,ٱلصوٰعق,الصواعق
حَذَرَ,حذر,حذر
ٱلْمَوْتِ,ٱلمو,الموت
وَٱللَّهُ,ٱلل,والله
مُحِيطٌۢ,حيطۢ,محيط
بِٱلْكَٰفِرِينَ,ٱلكٰفر,بالكافرين
يَكَادُ,يكد,يكاد
ٱلْبَرْقُ,ٱلبرق,البرق
يَخْطَفُ,خطف,يخطف
أَبْصَٰرَهُمْ,صٰر,ابصارهم
كُلَّمَآ,كلمآ,كلما
أَضَآءَ,ضٓء,اضاء
لَهُم,لهم,لهم
مَّشَوْا۟,شو۟,مشوا
وَإِذَآ,إذٓ,واذا
أَظْلَمَ,ظلم,اظلم
قَامُوا۟,قاموا۟,قاموا
وَلَوْ,ولو,ولو
شَآءَ,شٓء,شاء
لَذَهَبَ,ذهب,لذهب
بِسَمْعِهِمْ,سمع,بسمعهم
وَأَبْصَٰرِهِمْ,أبصٰر,وابصارهم
كُلِّ,كل,كل
شَىْءٍ,شىء,شىء
قَدِيرٌ,قدر,قدير
يَٰٓأَيُّهَا,ٰٓأ,ياايها
ٱعْبُدُوا۟,ٱعبدوا۟,اعبدوا
رَبَّكُمُ,ربكم,ربكم
خَلَقَكُمْ,خلق,خلقكم
قَبْلِكُمْ,قبل,قبلكم
لَعَلَّكُمْ,لعل,لعلكم
تَتَّقُونَ,تتق,تتقون
جَعَلَ,جعل,جعل
لَكُمُ,لكم,لكم
ٱلْأَرْضَ,ٱلأرض,الارض
فِرَٰشًا,رٰش,فراشا
وَٱلسَّمَآءَ,وٱلسمآء,والسماء
بِنَآءً,نٓء,بناء
وَأَنزَلَ,أنزل,وانزل
مِنَ,من,من
مَآءً,آء,ماء
فَأَخْرَجَ,أخرج,فاخرج
بِهِۦ,بهۦ,به
ٱلثَّمَرَٰتِ,ٱلثمرٰ,الثمرات
رِزْقًا,رزق,رزقا
لَّكُمْ,لكم,لكم
فَلَا,فلا,فلا
تَجْعَلُوا۟,جعلوا۟,تجعلوا
أَندَادًا,داد,اندادا
وَأَنتُمْ,وأن,وانتم
تَعْلَمُونَ,علم,تعلمون
وَإِن,وإن,وان
كُنتُمْ,كنتم,كنتم
رَيْبٍ,ريب,ريب
مِّمَّا,مما,مما
نَزَّلْنَا,نزل,نزلنا
عَبْدِنَا,عبد,عبدنا
فَأْتُوا۟,أتوا۟,فاتوا
بِسُورَةٍ,بسر,بسورة
مِّثْلِهِۦ,ثلهۦ,مثله
وَٱدْعُوا۟,ٱدعوا۟,وادعوا
شُهَدَآءَكُم,شهدآء,شهداءكم
دُونِ,دون,دون
إِن,ان,ان
صَٰدِقِينَ,صٰدق,صادقين
فَإِن,فإن,فان
لَّمْ,لم,لم
تَفْعَلُوا۟,علوا۟,تفعلوا
وَلَن,ولن,ولن
فَٱتَّقُوا۟,ٱتقوا۟,فاتقوا
ٱلنَّارَ,ٱلنار,النار
ٱلَّتِى,ٱلتى,التى
وَقُودُهَا,وقد,وقودها
وَٱلْحِجَارَةُ,وٱلحجارة,والحجارة
أُعِدَّتْ,اعد,اعدت
لِلْكَٰفِرِينَ,كٰفر,للكافرين
وَبَشِّرِ,بشر,وبشر
وَعَمِلُوا۟,عملوا۟,وعملوا
ٱلصَّٰلِحَٰتِ,ٱلصٰلحٰت,الصالحات
أَنَّ,ان,ان
جَنَّٰتٍ,جنٰ,جنات
تَجْرِى,جرى,تجرى
تَحْتِهَا,تحت,تحتها
ٱلْأَنْهَٰرُ,ٱلأنهٰر,الانهار
كُلَّمَا,كلم,كلما
رُزِقُوا۟,رزقوا۟,رزقوا
مِنْهَا,منها,منها
ثَمَرَةٍ,ثمر,ثمرة
رِّزْقًا,رزق,رزقا
قَالُوا۟,قالوا۟,قالوا
هَٰذَا,هٰذ,هاذا
رُزِقْنَا,رزق,رزقنا
قَبْلُ,قبل,قبل
وَأُتُوا۟,أتوا۟,واتوا
مُتَشَٰبِهًا,تشٰب,متشابها
فِيهَآ,يهٓ,فيها
أَزْوَٰجٌ,زوٰج,ازواج
مُّطَهَّرَةٌ,طهر,مطهرة
وَهُمْ,وهم,وهم
فِيهَا,فيه,فيها
خَٰلِدُونَ,خٰلد,خالدون
يَسْتَحْىِۦٓ,حىۦٓ,يستحى
أَن,ان,ان
يَضْرِبَ,ضرب,يضرب
مَثَلًا,ثلا,مثلا
مَّا,ما,ما
بَعُوضَةً,بعض,بعوضة
فَوْقَهَا,فوق,فوقها
فَأَمَّا,فأم,فاما
فَيَعْلَمُونَ,علم,فيعلمون
أَنَّهُ,انه,انه
ٱلْحَقُّ,ٱلحق,الحق
وَأَمَّا,وأم,واما
فَيَقُولُونَ,يقل,فيقولون
مَاذَآ,اذٓ,ماذا
أَرَادَ,ارد,اراد
بِهَٰذَا,هٰذ,بهاذا
يُضِلُّ,يضل,يضل
كَثِيرًا,كثر,كثيرا
وَيَهْدِى,هدى,ويهدى
بِهِۦٓ,هۦٓ,به
إِلَّا,الا,الا
ٱلْفَٰسِقِينَ,ٱلفٰسق,الفاسقين
يَنقُضُونَ,نقض,ينقضون
عَهْدَ,عهد,عهد
مِنۢ,منۢ,من
بَعْدِ,بعد,بعد
مِيثَٰقِهِۦ,ميثٰقهۦ,ميثاقه
وَيَقْطَعُونَ,قطع,ويقطعون
مَآ,مآ,ما
أَمَرَ,امر,امر
يُوصَلَ,وصل,يوصل
وَيُفْسِدُونَ,فسد,ويفسدون
ٱلْخَٰسِرُونَ,ٱلخٰسر,الخاسرون
كَيْفَ,كيف,كيف
تَكْفُرُونَ,كفر,تكفرون
وَكُنتُمْ,وكن,وكنتم
أَمْوَٰتًا,امٰ,امواتا
فَأَحْيَٰكُمْ,أحٰ,فاحياكم
ثُمَّ,ثم,ثم
يُمِيتُكُمْ,يمت,يميتكم
يُحْيِيكُمْ,يحي,يحييكم
إِلَيْهِ,اله,اليه
تُرْجَعُونَ,رجع,ترجعون
هُوَ,هو,هو
خَلَقَ,خلق,خلق
لَكُم,لكم,لكم
جَمِيعًا,جمع,جميعا
ٱسْتَوَىٰٓ,ٱستوىٰٓ,استوىا
إِلَى,الى,الى
فَسَوَّىٰهُنَّ,وىٰ,فسوىاهن
سَبْعَ,سبع,سبع
سَمَٰوَٰتٍ,ٰوٰ,سماوات
وَهُوَ,وهو,وهو
بِكُلِّ,بكل,بكل
عَلِيمٌ,علم,عليم
وَإِذْ,وإذ,واذ
قَالَ,قال,قال
رَبُّكَ,ربك,ربك
لِلْمَلَٰٓئِكَةِ,لٰٓئ,للملايكة
إِنِّى,انى,انى
جَاعِلٌ,جعل,جاعل
خَلِيفَةً,خلف,خليفة
أَتَجْعَلُ,جعل,اتجعل
يُفْسِدُ,فسد,يفسد
وَيَسْفِكُ,يسف,ويسفك
ٱلدِّمَآءَ,ٱلدمآء,الدماء
وَنَحْنُ,ونح,ونحن
نُسَبِّحُ,سبح,نسبح
بِحَمْدِكَ,حمد,بحمدك
وَنُقَدِّسُ,قدس,ونقدس
لَكَ,لك,لك
إِنِّىٓ,نىٓ,انى
أَعْلَمُ,علم,اعلم
وَعَلَّمَ,علم,وعلم
ءَادَمَ,ءدم,ءادم
ٱلْأَسْمَآءَ,ٱلأسمآء,الاسماء
كُلَّهَا,كله,كلها
عَرَضَهُمْ,عرض,عرضهم
عَلَى,على,على
ٱلْمَلَٰٓئِكَةِ,ٱلملٰٓئكة,الملايكة
فَقَالَ,فقل,فقال
أَنۢبِـُٔونِى,انۢبـٔونى,انبـونى
بِأَسْمَآءِ,أسمآء,باسماء
هَٰٓؤُلَآءِ,هٰٓؤلآء,هاولاء
سُبْحَٰنَكَ,بحٰ,سبحانك
عِلْمَ,علم,علم
لَنَآ,لنٓ,لنا
عَلَّمْتَنَآ,علمتنآ,علمتنا
إِنَّكَ,انك,انك
أَنتَ,انت,انت
ٱلْعَلِيمُ,ٱلعليم,العليم
ٱلْحَكِيمُ,ٱلحكيم,الحكيم
يَٰٓـَٔادَمُ,يٰٓـٔادم,ياـادم
أَنۢبِئْهُم,ۢبئ,انبيهم
بِأَسْمَآئِهِمْ,أسمآئ,باسمايهم
أَنۢبَأَهُم,ۢبأ,انباهم
أَلَمْ,الم,الم
أَقُل,اقل,اقل
