word,root
تَدْخُلُوا۟,دخلوا۟,تدخلوا
يَأْتِكُم,يأت,ياتكم
مَّثَلُ,مثل,مثل
قَبْلِكُم,قبل,قبلكم
مَّسَّتْهُمُ,مست,مستهم
ٱلْبَأْسَآءُ,ٱلبأسآء,الباساء
وَٱلضَّرَّآءُ,وٱلضرآء,والضراء
وَزُلْزِلُوا۟,وزلزلوا۟,وزلزلوا
يَقُولَ,يقل,يقول
مَعَهُۥ,عهۥ,معه
مَتَىٰ,تىٰ,متىا
نَصْرُ,نصر,نصر
نَصْرَ,نصر,نصر
مَاذَا,اذا,ماذا
أَنفَقْتُم,نفق,انفقتم
فَلِلْوَٰلِدَيْنِ,ٰلد,فللوالدين
وَٱبْنِ,وٱب,وابن
ٱلْقِتَالُ,ٱلقتال,القتال
كُرْهٌ,كره,كره
وَعَسَىٰٓ,عسىٰٓ,وعسىا
تَكْرَهُوا۟,كرهوا۟,تكرهوا
تُحِبُّوا۟,حبوا۟,تحبوا
شَرٌّ,شر,شر
ٱلشَّهْرِ,ٱلشهر,الشهر
قِتَالٍ,قتل,قتال
قِتَالٌ,قتل,قتال
كَبِيرٌ,كبر,كبير
وَصَدٌّ,وصد,وصد
وَكُفْرٌۢ,كفرۢ,وكفر
وَٱلْمَسْجِدِ,ٱلمسجد,والمسجد
وَإِخْرَاجُ,إخراج,واخراج
أَهْلِهِۦ,هلهۦ,اهله
أَكْبَرُ,كبر,اكبر
يَزَالُونَ,يزل,يزالون
يَرُدُّوكُمْ,ردو,يردوكم
دِينِكُمْ,دين,دينكم
إِنِ,ان,ان
ٱسْتَطَٰعُوا۟,ٱستطٰعوا۟,استطاعوا
يَرْتَدِدْ,ردد,يرتدد
دِينِهِۦ,دينهۦ,دينه
فَيَمُتْ,فيم,فيمت
كَافِرٌ,كفر,كافر
حَبِطَتْ,حبط,حبطت
أَعْمَٰلُهُمْ,عمٰل,اعمالهم
وَٱلْءَاخِرَةِ,وٱلءاخرة,والءاخرة
هَاجَرُوا۟,هاجروا۟,هاجروا
وَجَٰهَدُوا۟,وجٰهدوا۟,وجاهدوا
يَرْجُونَ,يرج,يرجون
رَحْمَتَ,رحم,رحمت
ٱلْخَمْرِ,ٱلخمر,الخمر
وَٱلْمَيْسِرِ,ٱلميسر,والميسر
فِيهِمَآ,همٓ,فيهما
إِثْمٌ,اثم,اثم
وَمَنَٰفِعُ,ٰفع,ومنافع
وَإِثْمُهُمَآ,وإثمهمآ,واثمهما
نَّفْعِهِمَا,نفع,نفعهما
وَيَسْـَٔلُونَكَ,ويسـٔلونك,ويسـلونك
قُلِ,قل,قل
ٱلْعَفْوَ,ٱلعفو,العفو
تَتَفَكَّرُونَ,فكر,تتفكرون
ٱلْيَتَٰمَىٰ,ٱليتٰمىٰ,اليتامىا
إِصْلَاحٌ,صلح,اصلاح
لَّهُمْ,لهم,لهم
تُخَالِطُوهُمْ,خالطو,تخالطوهم
فَإِخْوَٰنُكُمْ,إخٰ,فاخوانكم
ٱلْمُفْسِدَ,ٱلمفسد,المفسد
ٱلْمُصْلِحِ,ٱلمصلح,المصلح
لَأَعْنَتَكُمْ,لأع,لاعنتكم
تَنكِحُوا۟,كحوا۟,تنكحوا
ٱلْمُشْرِكَٰتِ,ٱلمشركٰت,المشركات
يُؤْمِنَّ,يؤم,يومن
وَلَأَمَةٌ,لأم,ولامة
مُّؤْمِنَةٌ,ؤمن,مومنة
مُّشْرِكَةٍ,شرك,مشركة
أَعْجَبَتْكُمْ,عجب,اعجبتكم
تُنكِحُوا۟,كحوا۟,تنكحوا
وَلَعَبْدٌ,عبد,ولعبد
مُّؤْمِنٌ,ؤمن,مومن
مُّشْرِكٍ,شرك,مشرك
أَعْجَبَكُمْ,عجب,اعجبكم
يَدْعُونَ,يدع,يدعون
يَدْعُوٓا۟,دعوٓا۟,يدعوا
وَٱلْمَغْفِرَةِ,وٱلمغفرة,والمغفرة
وَيُبَيِّنُ,ويب,ويبين
يَتَذَكَّرُونَ,ذكر,يتذكرون
ٱلْمَحِيضِ,ٱلمحيض,المحيض
فَٱعْتَزِلُوا۟,فٱعتزلوا۟,فاعتزلوا
ٱلنِّسَآءَ,ٱلنسآء,النساء
تَقْرَبُوهُنَّ,قربو,تقربوهن
يَطْهُرْنَ,طهر,يطهرن
تَطَهَّرْنَ,طهر,تطهرن
فَأْتُوهُنَّ,أتو,فاتوهن
أَمَرَكُمُ,امر,امركم
ٱلتَّوَّٰبِينَ,ٱلتوٰب,التوابين
وَيُحِبُّ,يحب,ويحب
ٱلْمُتَطَهِّرِينَ,ٱلمتطهر,المتطهرين
نِسَآؤُكُمْ,سٓؤ,نساوكم
حَرْثٌ,حرث,حرث
حَرْثَكُمْ,حرث,حرثكم
أَنَّىٰ,نىٰ,انىا
وَقَدِّمُوا۟,قدموا۟,وقدموا
لِأَنفُسِكُمْ,أنفس,لانفسكم
أَنَّكُم,نكم,انكم
مُّلَٰقُوهُ,لٰقو,ملاقوه
ٱلْمُؤْمِنِينَ,ٱلمؤم,المومنين
عُرْضَةً,عرض,عرضة
لِّأَيْمَٰنِكُمْ,أيمٰ,لايمانكم
تَبَرُّوا۟,رو۟,تبروا
وَتَتَّقُوا۟,قو۟,وتتقوا
وَتُصْلِحُوا۟,وتصلحوا۟,وتصلحوا
يُؤَاخِذُكُمُ,ؤخذ,يواخذكم
بِٱللَّغْوِ,ٱللغو,باللغو
أَيْمَٰنِكُمْ,يمٰ,ايمانكم
يُؤَاخِذُكُم,ؤخذ,يواخذكم
قُلُوبُكُمْ,قلب,قلوبكم
حَلِيمٌ,حلم,حليم
يُؤْلُونَ,يؤل,يولون
نِّسَآئِهِمْ,سٓئ,نسايهم
تَرَبُّصُ,ربص,تربص
أَرْبَعَةِ,ربع,اربعة
أَشْهُرٍ,شهر,اشهر
فَآءُو,ٓءو,فاءو
عَزَمُوا۟,عزموا۟,عزموا
ٱلطَّلَٰقَ,ٱلطلٰق,الطلاق
وَٱلْمُطَلَّقَٰتُ,وٱلمطلقٰت,والمطلقات
يَتَرَبَّصْنَ,ربص,يتربصن
بِأَنفُسِهِنَّ,أنفس,بانفسهن
ثَلَٰثَةَ,ثلٰث,ثلاثة
قُرُوٓءٍ,قروٓء,قروء
يَحِلُّ,يحل,يحل
لَهُنَّ,لهن,لهن
يَكْتُمْنَ,كمن,يكتمن
أَرْحَامِهِنَّ,رحم,ارحامهن
كُنَّ,كن,كن
وَبُعُولَتُهُنَّ,بعل,وبعولتهن
أَحَقُّ,احق,احق
بِرَدِّهِنَّ,برد,بردهن
إِنْ,ان,ان
أَرَادُوٓا۟,ارادوٓا۟,ارادوا
إِصْلَٰحًا,صلٰح,اصلاحا
وَلَهُنَّ,وله,ولهن
مِثْلُ,مثل,مثل
عَلَيْهِنَّ,علي,عليهن
وَلِلرِّجَالِ,رجل,وللرجال
دَرَجَةٌ,درج,درجة
ٱلطَّلَٰقُ,ٱلطلٰق,الطلاق
مَرَّتَانِ,مرت,مرتان
فَإِمْسَاكٌۢ,إمساكۢ,فامساك
بِمَعْرُوفٍ,عرف,بمعروف
تَسْرِيحٌۢ,ريحۢ,تسريح
تَأْخُذُوا۟,أخذوا۟,تاخذوا
مِمَّآ,مآ,مما
ءَاتَيْتُمُوهُنَّ,ءاتيتمو,ءاتيتموهن
يَخَافَآ,خافآ,يخافا
أَلَّا,الا,الا
يُقِيمَا,يقي,يقيما
حُدُودَ,حدد,حدود
خِفْتُمْ,خفتم,خفتم
عَلَيْهِمَا,عله,عليهما
ٱفْتَدَتْ,ٱفتد,افتدت
تَعْتَدُوهَا,عدو,تعتدوها
يَتَعَدَّ,تعد,يتعد
ٱلظَّٰلِمُونَ,ٱلظٰلم,الظالمون
طَلَّقَهَا,طلق,طلقها
تَحِلُّ,تحل,تحل
بَعْدُ,بعد,بعد
تَنكِحَ,نكح,تنكح
زَوْجًا,زوج,زوجا
غَيْرَهُۥ,غيرهۥ,غيره
عَلَيْهِمَآ,عليهمآ,عليهما
يَتَرَاجَعَآ,يتراجعآ,يتراجعا
ظَنَّآ,ظنٓ,ظنا
وَتِلْكَ,وتل,وتلك
يُبَيِّنُهَا,يبن,يبينها
طَلَّقْتُمُ,طلق,طلقتم
فَبَلَغْنَ,بلغ,فبلغن
أَجَلَهُنَّ,اجل,اجلهن
فَأَمْسِكُوهُنَّ,أمسكو,فامسكوهن
سَرِّحُوهُنَّ,رحو,سرحوهن
تُمْسِكُوهُنَّ,سكو,تمسكوهن
ضِرَارًا,ضرر,ضرارا
لِّتَعْتَدُوا۟,لتعتدوا۟,لتعتدوا
يَفْعَلْ,فعل,يفعل
ظَلَمَ,ظلم,ظلم
تَتَّخِذُوٓا۟,تتخذوٓا۟,تتخذوا
ءَايَٰتِ,ءيٰ,ءايات
نِعْمَتَ,نعم,نعمت
وَٱلْحِكْمَةِ,ٱلحكم,والحكمة
يَعِظُكُم,يعظ,يعظكم
تَعْضُلُوهُنَّ,عضلو,تعضلوهن
يَنكِحْنَ,نكح,ينكحن
أَزْوَٰجَهُنَّ,زوٰج,ازواجهن
تَرَٰضَوْا۟,رٰضوا۟,تراضوا
بَيْنَهُم,بين,بينهم
يُوعَظُ,وعظ,يوعظ
يُؤْمِنُ,يؤم,يومن
أَزْكَىٰ,زكىٰ,ازكىا
وَأَطْهَرُ,أطهر,واطهر
وَٱلْوَٰلِدَٰتُ,وٱلوٰلدٰت,والوالدات
يُرْضِعْنَ,رضع,يرضعن
أَوْلَٰدَهُنَّ,لٰد,اولادهن
حَوْلَيْنِ,حول,حولين
كَامِلَيْنِ,كمل,كاملين
لِمَنْ,لمن,لمن
يُتِمَّ,يتم,يتم
ٱلرَّضَاعَةَ,ٱلرضاع,الرضاعة
ٱلْمَوْلُودِ,ٱلمولود,المولود
رِزْقُهُنَّ,رزق,رزقهن
وَكِسْوَتُهُنَّ,كسو,وكسوتهن
تُكَلَّفُ,كلف,تكلف
وُسْعَهَا,وسع,وسعها
تُضَآرَّ,ضٓر,تضار
وَٰلِدَةٌۢ,ٰلدةۢ,والدة
بِوَلَدِهَا,ولد,بولدها
مَوْلُودٌ,ولد,مولود
بِوَلَدِهِۦ,دهۦ,بولده
ٱلْوَارِثِ,ٱلوارث,الوارث
أَرَادَا,ردا,ارادا
فِصَالًا,فصل,فصالا
تَرَاضٍ,ترض,تراض
مِّنْهُمَا,منه,منهما
وَتَشَاوُرٍ,شور,وتشاور
أَرَدتُّمْ,ارد,اردتم
تَسْتَرْضِعُوٓا۟,تسترضعوٓا۟,تسترضعوا
أَوْلَٰدَكُمْ,لٰد,اولادكم
سَلَّمْتُم,سلم,سلمتم
مَّآ,مآ,ما
ءَاتَيْتُم,ءتي,ءاتيتم
يُتَوَفَّوْنَ,يتف,يتوفون
وَيَذَرُونَ,يذر,ويذرون
أَزْوَٰجًا,زوٰج,ازواجا
أَرْبَعَةَ,ربع,اربعة
وَعَشْرًا,عشر,وعشرا
بَلَغْنَ,بلغ,بلغن
فَعَلْنَ,فعل,فعلن
أَنفُسِهِنَّ,نفس,انفسهن
خَبِيرٌ,خبر,خبير
عَرَّضْتُم,عرض,عرضتم
خِطْبَةِ,خطب,خطبة
ٱلنِّسَآءِ,ٱلنسآء,النساء
أَكْنَنتُمْ,اكن,اكننتم
أَنفُسِكُمْ,نفس,انفسكم
سَتَذْكُرُونَهُنَّ,ذكرو,ستذكرونهن
تُوَاعِدُوهُنَّ,عدو,تواعدوهن
سِرًّا,سرا,سرا
مَّعْرُوفًا,عرف,معروفا
تَعْزِمُوا۟,عزموا۟,تعزموا
عُقْدَةَ,عقد,عقدة
ٱلنِّكَاحِ,ٱلنكاح,النكاح
أَجَلَهُۥ,جلهۥ,اجله
فَٱحْذَرُوهُ,ٱحذرو,فاحذروه
تَمَسُّوهُنَّ,مسو,تمسوهن
تَفْرِضُوا۟,رضوا۟,تفرضوا
فَرِيضَةً,فرض,فريضة
وَمَتِّعُوهُنَّ,تعو,ومتعوهن
ٱلْمُوسِعِ,ٱلموسع,الموسع
قَدَرُهُۥ,قدرهۥ,قدره
ٱلْمُقْتِرِ,ٱلمقتر,المقتر
مَتَٰعًۢا,تٰعۢ,متاعا
طَلَّقْتُمُوهُنَّ,طلقتمو,طلقتموهن
قَبْلِ,قبل,قبل
فَرَضْتُمْ,فرض,فرضتم
فَنِصْفُ,نصف,فنصف
يَعْفُونَ,يعف,يعفون
يَعْفُوَا۟,عفوا۟,يعفوا
بِيَدِهِۦ,دهۦ,بيده
عُقْدَةُ,عقد,عقدة
تَعْفُوٓا۟,عفوٓا۟,تعفوا
أَقْرَبُ,قرب,اقرب
لِلتَّقْوَىٰ,قوىٰ,للتقوىا
تَنسَوُا۟,سو۟,تنسوا
ٱلْفَضْلَ,ٱلفضل,الفضل
بَيْنَكُمْ,بين,بينكم
حَٰفِظُوا۟,حٰفظوا۟,حافظوا
ٱلصَّلَوَٰتِ,ٱلصلوٰ,الصلوات
ٱلْوُسْطَىٰ,ٱلوسطىٰ,الوسطىا
وَقُومُوا۟,قوموا۟,وقوموا
قَٰنِتِينَ,قٰن,قانتين
فَرِجَالًا,رجل,فرجالا
رُكْبَانًا,ركب,ركبانا
عَلَّمَكُم,علم,علمكم
وَصِيَّةً,وصة,وصية
لِّأَزْوَٰجِهِم,أزوٰج,لازواجهم
مَّتَٰعًا,تٰع,متاعا
ٱلْحَوْلِ,ٱلحول,الحول
إِخْرَاجٍ,خرج,اخراج
خَرَجْنَ,خرج,خرجن
مَّعْرُوفٍ,عرف,معروف
وَلِلْمُطَلَّقَٰتِ,طلقٰ,وللمطلقات
مَتَٰعٌۢ,تٰعۢ,متاع
تَرَ,تر,تر
خَرَجُوا۟,خرجوا۟,خرجوا
أُلُوفٌ,الف,الوف
مُوتُوا۟,موتوا۟,موتوا
أَحْيَٰهُمْ,احٰ,احياهم
لَذُو,لذو,لذو
فَضْلٍ,فضل,فضل
أَكْثَرَ,كثر,اكثر
يَشْكُرُونَ,شكر,يشكرون
ذَا,ذا,ذا
يُقْرِضُ,قرض,يقرض
قَرْضًا,قرض,قرضا
حَسَنًا,حسن,حسنا
فَيُضَٰعِفَهُۥ,فيضٰعفهۥ,فيضاعفه
لَهُۥٓ,هۥٓ,له
أَضْعَافًا,ضعف,اضعافا
كَثِيرَةً,كثر,كثيرة
يَقْبِضُ,قبض,يقبض
وَيَبْصُۜطُ,صۜط,ويبصط
وَإِلَيْهِ,وإل,واليه
ٱلْمَلَإِ,ٱلملإ,الملا
لِنَبِىٍّ,نبى,لنبى
لَّهُمُ,لهم,لهم
ٱبْعَثْ,ٱبعث,ابعث
مَلِكًا,لكا,ملكا
نُّقَٰتِلْ,قٰتل,نقاتل
عَسَيْتُمْ,عسي,عسيتم
تُقَٰتِلُوا۟,تقٰتلوا۟,تقاتلوا
نُقَٰتِلَ,قٰتل,نقاتل
أُخْرِجْنَا,خرج,اخرجنا
دِيَٰرِنَا,ديٰر,ديارنا
وَأَبْنَآئِنَا,أبنآئ,وابناينا
نَبِيُّهُمْ,نبي,نبيهم
بَعَثَ,بعث,بعث
طَالُوتَ,طلت,طالوت
يَكُونُ,يكون,يكون
ٱلْمُلْكُ,ٱلمل,الملك
بِٱلْمُلْكِ,ٱلمل,بالملك
وَلَمْ,ولم,ولم
يُؤْتَ,يؤت,يوت
سَعَةً,سعة,سعة
ٱلْمَالِ,ٱلمال,المال
ٱصْطَفَىٰهُ,ٱصطفىٰ,اصطفىاه
وَزَادَهُۥ,زادهۥ,وزاده
بَسْطَةً,بسط,بسطة
وَٱلْجِسْمِ,ٱلجسم,والجسم
يُؤْتِى,ؤتى,يوتى
مُلْكَهُۥ,لكهۥ,ملكه
ءَايَةَ,ءية,ءاية
مُلْكِهِۦٓ,ملكهۦٓ,ملكه
يَأْتِيَكُمُ,يأت,ياتيكم
ٱلتَّابُوتُ,ٱلتابو,التابوت
سَكِينَةٌ,سكن,سكينة
وَبَقِيَّةٌ,وبق,وبقية
ءَالُ,ءال,ءال
وَءَالُ,وءل,وءال
هَٰرُونَ,هٰر,هارون
تَحْمِلُهُ,حمل,تحمله
ٱلْمَلَٰٓئِكَةُ,ٱلملٰٓئكة,الملايكة
لَءَايَةً,لءي,لءاية
فَصَلَ,فصل,فصل
طَالُوتُ,طلت,طالوت
بِٱلْجُنُودِ,ٱلجنود,بالجنود
مُبْتَلِيكُم,بلي,مبتليكم
بِنَهَرٍ,نهر,بنهر
شَرِبَ,شرب,شرب
فَلَيْسَ,فلس,فليس
مِنِّى,منى,منى
يَطْعَمْهُ,طعم,يطعمه
مِنِّىٓ,نىٓ,منى
ٱغْتَرَفَ,ٱغترف,اغترف
غُرْفَةًۢ,غرفةۢ,غرفة
فَشَرِبُوا۟,شربوا۟,فشربوا
جَاوَزَهُۥ,جاوزهۥ,جاوزه
طَاقَةَ,طقة,طاقة
ٱلْيَوْمَ,ٱليوم,اليوم
بِجَالُوتَ,جلو,بجالوت
وَجُنُودِهِۦ,جنودهۦ,وجنوده
كَم,كم,كم
فِئَةٍ,فئة,فية
قَلِيلَةٍ,قلل,قليلة
غَلَبَتْ,غلب,غلبت
فِئَةً,فئة,فية
كَثِيرَةًۢ,كثيرةۢ,كثيرة
بَرَزُوا۟,رزوا۟,برزوا
لِجَالُوتَ,جلو,لجالوت
أَفْرِغْ,فرغ,افرغ
صَبْرًا,صبر,صبرا
وَثَبِّتْ,وثب,وثبت
أَقْدَامَنَا,قدم,اقدامنا
وَٱنصُرْنَا,ٱنصر,وانصرنا
ٱلْقَوْمِ,ٱلقوم,القوم
فَهَزَمُوهُم,هزمو,فهزموهم
وَقَتَلَ,قتل,وقتل
دَاوُۥدُ,داوۥد,داود
جَالُوتَ,جلت,جالوت
وَءَاتَىٰهُ,ءاتىٰ,وءاتىاه
ٱلْمُلْكَ,ٱلمل,الملك
وَعَلَّمَهُۥ,علمهۥ,وعلمه
وَلَوْلَا,ولل,ولولا
دَفْعُ,دفع,دفع
بَعْضَهُم,بعض,بعضهم
لَّفَسَدَتِ,فسد,لفسدت
ءَايَٰتُ,ءيٰ,ءايات
نَتْلُوهَا,تلو,نتلوها
عَلَيْكَ,علك,عليك
وَإِنَّكَ,وإن,وانك
ٱلْمُرْسَلِينَ,ٱلمرسل,المرسلين
ٱلرُّسُلُ,ٱلرسل,الرسل
فَضَّلْنَا,فضل,فضلنا
بَعْضَهُمْ,بعض,بعضهم
كَلَّمَ,كلم,كلم
وَرَفَعَ,رفع,ورفع
دَرَجَٰتٍ,درجٰ,درجات
ٱقْتَتَلَ,ٱقتتل,اقتتل
بَعْدِهِم,بعد,بعدهم
وَلَٰكِنِ,ولٰ,ولاكن
فَمِنْهُم,فمن,فمنهم
مَّنْ,من,من
ٱقْتَتَلُوا۟,ٱقتتلوا۟,اقتتلوا
أَنفِقُوا۟,قو۟,انفقوا
رَزَقْنَٰكُم,رزقنٰ,رزقناكم
يَوْمٌ,يوم,يوم
بَيْعٌ,بيع,بيع
خُلَّةٌ,خلة,خلة
وَٱلْكَٰفِرُونَ,ٱلكٰفر,والكافرون
لَآ,لآ,لا
ٱلْحَىُّ,ٱلحى,الحى
ٱلْقَيُّومُ,ٱلقيوم,القيوم
تَأْخُذُهُۥ,أخذهۥ,تاخذه
سِنَةٌ,سنة,سنة
نَوْمٌ,نوم,نوم
يَشْفَعُ,شفع,يشفع
عِندَهُۥٓ,عندهۥٓ,عنده
خَلْفَهُمْ,خلف,خلفهم
يُحِيطُونَ,يحط,يحيطون
عِلْمِهِۦٓ,علمهۦٓ,علمه
وَسِعَ,وسع,وسع
كُرْسِيُّهُ,كرس,كرسيه
وَٱلْأَرْضَ,ٱلأرض,والارض
يَـُٔودُهُۥ,ـٔودهۥ,يـوده
حِفْظُهُمَا,حفظ,حفظهما
ٱلْعَلِىُّ,ٱلعلى,العلى
ٱلْعَظِيمُ,ٱلعظيم,العظيم
إِكْرَاهَ,كره,اكراه
قَد,قد,قد
تَّبَيَّنَ,تبن,تبين
ٱلرُّشْدُ,ٱلرشد,الرشد
ٱلْغَىِّ,ٱلغى,الغى
بِٱلطَّٰغُوتِ,بٱلطٰغوت,بالطاغوت
وَيُؤْمِنۢ,ؤمنۢ,ويومن
ٱسْتَمْسَكَ,ٱستمس,استمسك
بِٱلْعُرْوَةِ,ٱلعرو,بالعروة
ٱلْوُثْقَىٰ,ٱلوثقىٰ,الوثقىا
ٱنفِصَامَ,ٱنفصام,انفصام
وَلِىُّ,ولى,ولى
يُخْرِجُهُم,خرج,يخرجهم
ٱلظُّلُمَٰتِ,ٱلظلمٰ,الظلمات
ٱلنُّورِ,ٱلنور,النور
كَفَرُوٓا۟,كفروٓا۟,كفروا
أَوْلِيَآؤُهُمُ,يٓؤ,اولياوهم
ٱلطَّٰغُوتُ,ٱلطٰغو,الطاغوت
يُخْرِجُونَهُم,خرجو,يخرجونهم
حَآجَّ,حٓج,حاج
رَبِّهِۦٓ,ربهۦٓ,ربه
ءَاتَىٰهُ,ءاتىٰ,ءاتىاه
رَبِّىَ,ربى,ربى
يُحْىِۦ,حىۦ,يحى
وَيُمِيتُ,ويم,ويميت
أَنَا۠,ان۠,انا
أُحْىِۦ,حىۦ,احى
وَأُمِيتُ,وأم,واميت
يَأْتِى,أتى,ياتى
بِٱلشَّمْسِ,ٱلشمس,بالشمس
فَأْتِ,فأت,فات
بِهَا,بها,بها
ٱلْمَغْرِبِ,ٱلمغرب,المغرب
فَبُهِتَ,فبه,فبهت
ٱلْقَوْمَ,ٱلقوم,القوم
كَٱلَّذِى,كٱلذى,كالذى
مَرَّ,مر,مر
قَرْيَةٍ,قرة,قرية
وَهِىَ,وهى,وهى
خَاوِيَةٌ,خاي,خاوية
عُرُوشِهَا,عرش,عروشها
فَأَمَاتَهُ,فأم,فاماته
مِا۟ئَةَ,ا۟ئ,ماية
عَامٍ,عام,عام
بَعَثَهُۥ,عثهۥ,بعثه
لَبِثْتَ,لبث,لبثت
لَبِثْتُ,لبث,لبثت
بَعْضَ,بعض,بعض
يَوْمٍ,يوم,يوم
لَّبِثْتَ,لبث,لبثت
فَٱنظُرْ,ٱنظر,فانظر
طَعَامِكَ,طعم,طعامك
وَشَرَابِكَ,شرب,وشرابك
يَتَسَنَّهْ,يتس,يتسنه
وَٱنظُرْ,ٱنظر,وانظر
حِمَارِكَ,حمر,حمارك
وَلِنَجْعَلَكَ,جعل,ولنجعلك
ءَايَةً,ءية,ءاية
ٱلْعِظَامِ,ٱلعظام,العظام
نُنشِزُهَا,نشز,ننشزها
نَكْسُوهَا,كسو,نكسوها
لَحْمًا,لحم,لحما
أَرِنِى,رنى,ارنى
تُحْىِ,تحى,تحى
أَوَلَمْ,ولم,اولم
تُؤْمِن,تؤم,تومن
لِّيَطْمَئِنَّ,طمئ,ليطمين
قَلْبِى,قلبى,قلبى
فَخُذْ,فخذ,فخذ
أَرْبَعَةً,ربع,اربعة
ٱلطَّيْرِ,ٱلطير,الطير
فَصُرْهُنَّ,فصر,فصرهن
جَبَلٍ,جبل,جبل
مِّنْهُنَّ,نهن,منهن
جُزْءًا,جزء,جزءا
ٱدْعُهُنَّ,ٱدع,ادعهن
يَأْتِينَكَ,أين,ياتينك
سَعْيًا,سعا,سعيا
وَٱعْلَمْ,ٱعلم,واعلم
أَمْوَٰلَهُمْ,وٰل,اموالهم
حَبَّةٍ,حبة,حبة
أَنۢبَتَتْ,ۢبت,انبتت
سَنَابِلَ,نبل,سنابل
سُنۢبُلَةٍ,ۢبل,سنبلة
مِّا۟ئَةُ,ا۟ئ,ماية
يُضَٰعِفُ,ضٰعف,يضاعف
يُتْبِعُونَ,تبع,يتبعون
أَنفَقُوا۟,قو۟,انفقوا
مَنًّا,منا,منا
وَلَآ,ولٓ,ولا
قَوْلٌ,قول,قول
مَّعْرُوفٌ,عرف,معروف
وَمَغْفِرَةٌ,غفر,ومغفرة
يَتْبَعُهَآ,عهٓ,يتبعها
غَنِىٌّ,غنى,غنى
تُبْطِلُوا۟,طلوا۟,تبطلوا
صَدَقَٰتِكُم,صدقٰ,صدقاتكم
بِٱلْمَنِّ,ٱلم,بالمن
وَٱلْأَذَىٰ,ٱلأذىٰ,والاذىا
يُنفِقُ,نفق,ينفق
مَالَهُۥ,الهۥ,ماله
رِئَآءَ,رئٓء,رياء
فَمَثَلُهُۥ,ثلهۥ,فمثله
صَفْوَانٍ,صفو,صفوان
تُرَابٌ,ترب,تراب
فَأَصَابَهُۥ,أصابهۥ,فاصابه
وَابِلٌ,وبل,وابل
فَتَرَكَهُۥ,ركهۥ,فتركه
صَلْدًا,صلد,صلدا
يَقْدِرُونَ,قدر,يقدرون
أَمْوَٰلَهُمُ,وٰل,اموالهم
وَتَثْبِيتًا,تثب,وتثبيتا
أَنفُسِهِمْ,نفس,انفسهم
جَنَّةٍۭ,جنةۭ,جنة
بِرَبْوَةٍ,ربو,بربوة
أَصَابَهَا,اصب,اصابها
فَـَٔاتَتْ,فـٔ,فـاتت
أُكُلَهَا,اكل,اكلها
ضِعْفَيْنِ,ضعف,ضعفين
يُصِبْهَا,يصب,يصبها
فَطَلٌّ,فطل,فطل
أَيَوَدُّ,ايد,ايود
أَحَدُكُمْ,احد,احدكم
جَنَّةٌ,جنة,جنة
نَّخِيلٍ,نخل,نخيل
وَأَعْنَابٍ,أعناب,واعناب
وَأَصَابَهُ,أصب,واصابه
ٱلْكِبَرُ,ٱلكبر,الكبر
وَلَهُۥ,لهۥ,وله
ذُرِّيَّةٌ,ذرة,ذرية
ضُعَفَآءُ,ضعفآء,ضعفاء
فَأَصَابَهَآ,فأصابهآ,فاصابها
إِعْصَارٌ,عصر,اعصار
نَارٌ,نار,نار
فَٱحْتَرَقَتْ,ٱحترق,فاحترقت
وَمِمَّآ,مآ,ومما
أَخْرَجْنَا,خرج,اخرجنا
تَيَمَّمُوا۟,مو۟,تيمموا
ٱلْخَبِيثَ,ٱلخبيث,الخبيث
تُنفِقُونَ,نفق,تنفقون
وَلَسْتُم,ولس,ولستم
بِـَٔاخِذِيهِ,بـٔاخذيه,بـاخذيه
تُغْمِضُوا۟,غمضوا۟,تغمضوا
حَمِيدٌ,حمد,حميد
يَعِدُكُمُ,يعد,يعدكم
ٱلْفَقْرَ,ٱلفقر,الفقر
وَيَأْمُرُكُم,أمر,ويامركم
بِٱلْفَحْشَآءِ,بٱلفحشآء,بالفحشاء
يَعِدُكُم,يعد,يعدكم
مَّغْفِرَةً,غفر,مغفرة
مِّنْهُ,منه,منه
وَفَضْلًا,فضل,وفضلا
ٱلْحِكْمَةَ,ٱلحكم,الحكمة
يَذَّكَّرُ,ذكر,يذكر
أُو۟لُوا۟,۟لوا۟,اولوا
نَّفَقَةٍ,نفق,نفقة
نَذَرْتُم,نذر,نذرتم
نَّذْرٍ,نذر,نذر
يَعْلَمُهُۥ,علمهۥ,يعلمه
لِلظَّٰلِمِينَ,ظٰلم,للظالمين
أَنصَارٍ,صار,انصار
تُبْدُوا۟,دو۟,تبدوا
ٱلصَّدَقَٰتِ,ٱلصدقٰ,الصدقات
فَنِعِمَّا,فنع,فنعما
تُخْفُوهَا,خفو,تخفوها
وَتُؤْتُوهَا,ؤتو,وتوتوها
ٱلْفُقَرَآءَ,ٱلفقرآء,الفقراء
وَيُكَفِّرُ,كفر,ويكفر
سَيِّـَٔاتِكُمْ,يـٔ,سيـاتكم
هُدَىٰهُمْ,هدىٰ,هدىاهم
تُنفِقُوا۟,قو۟,تنفقوا
فَلِأَنفُسِكُمْ,أنفس,فلانفسكم
وَجْهِ,وجه,وجه
يُوَفَّ,يوف,يوف
إِلَيْكُمْ,الي,اليكم
تُظْلَمُونَ,ظلم,تظلمون
لِلْفُقَرَآءِ,قرٓء,للفقراء
أُحْصِرُوا۟,حصروا۟,احصروا
